Refseq_ID	HMT-ID	Species	Strain	Genbank/PROKKA-ID	Satus	Prefer-habitat
544_4398	HMT-544	Ochrobactrum anthropi	Strain: LMG 3331	GB: AM114398	Named	Unassigned
485_1223	HMT-485	Agrobacterium tumefaciens	Strain: DMS 30105	GB: M11223	Named	Unassigned
001A28SC	HMT-001	Bartonella schoenbuchensis	Strain: A28SC	GB: GQ422708	Named	Unassigned
663_5923	HMT-663	Stenotrophomonas maltophilia	Strain: LMG 958	GB: X95923	Named	Unassigned
037AY088	HMT-037	Stenotrophomonas nitritireducens	Clone: AY088	GB: AF385546	Named	Unassigned
028_5031	HMT-028	Rhodocyclus sp. HMT 028	Strain: A08KA	GB: AY005031	Unnamed	Unassigned
571_7530	HMT-571	Burkholderia cepacia	Strain: ATCC 25416	GB: AF097530	Named	Unassigned
027_5039	HMT-027	Cupriavidus gilardii	Strain: C37KA	GB: AY005039	Named	Unassigned
854_3152	HMT-854	Ralstonia pickettii	Strain: ATCC 27511	GB: NR_043152	Named	Unassigned
406AK168	HMT-406	Ralstonia sp. HMT 406	Clone: AK168	GB: AY005032	Phylotype	Unassigned
343_4907	HMT-343	Achromobacter xylosoxidans	Strain: DSM 30026	GB: Y14907	Named	Unassigned
828_2327	HMT-828	Bordetella pertussis	Strain: CIP 105.894	GB: AF142327	Named	Unassigned
022AP009	HMT-022	Lautropia mirabilis	Clone: AP009	GB: AY005030	Named	Oral
022_3223	HMT-022	Lautropia mirabilis	Strain: Fredericksen	GB: X73223	Named	Oral
266N124A	HMT-266	Leptothrix sp. HMT 266	Clone: EV818SWSAP20	GB: DQ337065	Phylotype	Unassigned
025AV011	HMT-025	Leptothrix sp. HMT 025	Clone: AV011a	GB: AF385528	Phylotype	Unassigned
024_5876	HMT-024	Schlegelella thermodepolymerans	Strain: DhA-71	GB: AF125876	Named	Unassigned
026CA004	HMT-026	Schlegelella aquatica	Clone: CA004	GB: AF385538	Named	Unassigned
894Wade2	HMT-894	Ottowia sp. HMT 894	Clone: BL117	GB: JQ406530	Unnamed	Unassigned
894-Wade	HMT-894	Ottowia sp. HMT 894	Strain: W10237	GB: tbd	Unnamed	Unassigned
717_3736	HMT-717	Variovorax paradoxus	Strain: NBRC 15149	GB: NR_113736	Named	Unassigned
211N113A	HMT-211	Acidovorax caeni	Strain: R-24608	GB: NR_042427	Named	Unassigned
216N114A	HMT-216	Acidovorax temperans	Strain: PHL	GB: NR_028715	Named	Unassigned
209N112A	HMT-209	Acidovorax ebreus	Strain: YW12	GB: KM287569	Named	Unassigned
858_9161	HMT-858	Comamonas testosteroni	Strain: ATCC 11996	GB: NR_029161	Named	Oral
023_0186	HMT-023	Delftia acidovorans	Strain: MBIC 1305	GB: AB020186	Named	Unassigned
023_2803	HMT-023	Delftia acidovorans	Strain: 158	GB: AJ002803	Named	Unassigned
174N106B	HMT-174	Neisseriaceae [G-1] [G-1] bacterium HMT 174	Clone: MA02H06	GB: FM873692	Phylotype	Nasal
327N135A	HMT-327	Neisseriaceae [G-1] [G-1] bacterium HMT 327	Clone: ELU0028-000348	GB: HQ749958	Phylotype	Unassigned
683_8147	HMT-683	Simonsiella muelleri	Strain: ATCC29453T	GB: AF328147	Named	Oral
932_4648	HMT-932	Kingella sp. HMT 932	Clone: ELU0155-000287	GB: HQ804648	Phylotype	Oral
459ID059	HMT-459	Kingella sp. HMT 459	Clone: ID059	GB: AY349381	Phylotype	Oral
582_6166	HMT-582	Kingella denitrificans	Strain: UB-294	GB: L06166	Named	Oral
577_0620	HMT-577	Eikenella corrodens	Strain: 1664276	GB: AF320620	Named	Oral
577M-D25	HMT-577	Eikenella corrodens	Strain: Moore D25	GB: GQ422740	Named	Oral
011_6165	HMT-011	Eikenella sp. HMT 011	Strain: UB-204	GB: L06165	Lost	Oral
014AP085	HMT-014	Neisseria oralis	Clone: AP085	GB: AY005023	Named	Oral
014F0314	HMT-014	Neisseria oralis	Strain: F0314	GB: tbd	Named	Oral
598_6171	HMT-598	Neisseria elongata	Strain: ATCC 25295	GB: L06171	Named	Oral
012_2982	HMT-012	Kingella sp. HMT 012	Clone: 070038_218	GB: JQ462982	Phylotype	Oral
012DE012	HMT-012	Kingella sp. HMT 012	Clone: DE012	GB: AF366267	Phylotype	Oral
012_2485	HMT-012	Kingella sp. HMT 012	Clone: 069088_248	GB: JQ452485	Phylotype	Oral
523_3630	HMT-523	Neisseria sp. HMT 523	Clone: MB5_P15	GB: DQ003630	Phylotype	Unassigned
646_1999	HMT-646	Kingella kingae	Strain: ATCC 23330	GB: AY551999	Named	Unassigned
646_1998	HMT-646	Kingella kingae	Clone: 070038_218	GB: AY551998	Named	Unassigned
706_6164	HMT-706	Kingella oralis	Strain: CCUG 30450	GB: L06164	Named	Oral
499JC012	HMT-499	Neisseria sp. HMT 499	Clone: JC012	GB: AY349388	Phylotype	Oral
018_0511	HMT-018	Neisseria sp. HMT 018	Clone: 069082_036	GB: JQ450511	Phylotype	Oral
020_5028	HMT-020	Neisseria sp. HMT 020	Strain: B33KA	GB: AY005028	Unnamed	Oral
020_1395	HMT-020	Neisseria sp. HMT 020	Clone: 069085_216	GB: JQ451395	Unnamed	Oral
013_5756	HMT-013	Neisseria bacilliformis	Strain: S4	GB: KM225756	Named	Oral
013AK105	HMT-013	Neisseria bacilliformis	Clone: AK105	GB: AY005029	Named	Oral
013_9613	HMT-013	Neisseria bacilliformis	Clone: P4D1-729	GB: EF509613	Named	Oral
092_0738	HMT-092	Neisseria weaveri	Strain: CDC 8142	GB: L10738	Named	Oral
476_9291	HMT-476	Neisseria subflava	Strain: U37	GB: AJ239291	Named	Oral
610_1998	HMT-610	Neisseria flavescens	Clone: P1D1-762	GB: EF511998	Named	Oral
101N065A	HMT-101	Neisseria perflava	Strain: Branham 7078	GB: NR_117694	Named	Unassigned
737_6167	HMT-737	Neisseria polysaccharea	Strain: ATCC 43768	GB: L06167	Named	Unassigned
956_1687	HMT-956	Neisseria cinerea	Strain: ATCC 14685	GB: NR_121687	Named	Oral
669_2273	HMT-669	Neisseria meningitidis	Strain: M8067	GB: AF382273	Named	Oral
621_7714	HMT-621	Neisseria gonorrhoeae	Strain: NCTC 83785	GB: X07714	Named	Unassigned
649_9286	HMT-649	Neisseria lactamica	Strain: NCTC 10617	GB: AJ239286	Named	Oral
682_9282	HMT-682	Neisseria mucosa	Strain: LNP405	GB: AJ239282	Named	Oral
099N064A	HMT-099	Neisseria macacae	Strain: M-740	GB: NR_117701	Named	Unassigned
764_9292	HMT-764	Neisseria sicca	Strain: Q13	GB: AJ239292	Named	Oral
609_9301	HMT-609	Neisseria flava	Strain: U40	GB: AJ239301	Named	Oral
540_4696	HMT-540	Cardiobacterium valvarum	Strain: AB 2168	GB: AF144696	Named	Oral
633_5014	HMT-633	Cardiobacterium hominis	Strain: ATCC 16826	GB: M35014	Named	Oral
633_4697	HMT-633	Cardiobacterium hominis	Strain: AB 2167	GB: AF144697	Named	Oral
612_4476	HMT-612	Pseudomonas fluorescens	Strain: ATCC 13525	GB: NR_114476	Named	Unassigned
344N144A	HMT-344	Pseudomonas luteola	Strain: NBRC 103146	GB: NR_114215	Named	Unassigned
477_3219	HMT-477	Pseudomonas stutzeri	Strain: KC	GB: AF063219	Named	Unassigned
740_6666	HMT-740	Pseudomonas pseudoalcaligenes	Strain: LMG 1225	GB: Z76666	Named	Unassigned
032AZ002	HMT-032	Pseudomonas sp. HMT 032	Clone: AZ002	GB: AF385547	Phylotype	Unassigned
536_6651	HMT-536	Pseudomonas aeruginosa	Strain: LMG 1242	GB: Z76651	Named	Unassigned
834_3147	HMT-834	Pseudomonas otitidis	Strain: MCC 10330	GB: AY953147	Named	Unassigned
005N001A	HMT-005	Acinetobacter lwoffii	Strain: JCM 6840	GB: NR_113346	Named	Unassigned
297N132A	HMT-297	Acinetobacter johnsonii	Strain: ATCC 17909	GB: NR_117624	Named	Unassigned
010N002A	HMT-010	Acinetobacter radioresistens	Strain: NBRC 102413	GB: NR_114074	Named	Unassigned
408_8636	HMT-408	Acinetobacter sp. HMT 408	Clone: C4AKM094	GB: AY278636	Phylotype	Unassigned
554_1660	HMT-554	Acinetobacter baumannii	Strain: DSM 30007	GB: X81660	Named	Unassigned
282N127A	HMT-282	Acinetobacter junii	Strain: 17908	GB: NR_117623	Named	Unassigned
711_5304	HMT-711	Moraxella osloensis	Strain: Ben 58	GB: X95304	Named	Unassigned
154N099B	HMT-154	Moraxella lincolnii	Clone: ncd1569e11c1	GB: JF136073	Named	Nasal
154N099A	HMT-154	Moraxella lincolnii	Strain: LMG 5127	GB: NR_117693	Named	Nasal
154N099C	HMT-154	Moraxella lincolnii	Clone: ncd2795b03c1	GB: JF239969	Named	Nasal
276N126A	HMT-276	Moraxella sp. HMT 276	Clone: ncd26f04c1	GB: JF000627	Phylotype	Unassigned
098N062A	HMT-098	Moraxella nonliquefaciens	Strain: 4663/62	GB: NR_104938	Named	Nasal
098N062C	HMT-098	Moraxella nonliquefaciens	Clone: ncd1018e10c1	GB: HM341635	Named	Nasal
833_0876	HMT-833	Moraxella catarrhalis	Strain: ATCC 25238	GB: U10876	Named	Nasal
833N000A	HMT-833	Moraxella catarrhalis	Clone: ncd1722h10c1	GB: JF141417	Named	Nasal
827_7604	HMT-827	Yersinia pestis	Strain: not listed	GB: L37604	Named	Unassigned
676_8582	HMT-676	Proteus mirabilis	Strain: ATCC 29906	GB: AF008582	Named	Unassigned
753_4746	HMT-753	Cronobacter sakazakii	Strain: JCM1233	GB: AB004746	Named	Unassigned
574_5588	HMT-574	Escherichia coli	Strain: not listed	GB: M25588	Named	Unassigned
115N083A	HMT-115	Serratia marcescens	Strain: DSM 30121	GB: NR_041980	Named	Unassigned
865_6566	HMT-865	Kluyvera ascorbata	Strain: CDC 0556/74	GB: AF176566	Named	Unassigned
865F0526	HMT-865	Kluyvera ascorbata	Strain: F0526	GB: tbd	Named	Unassigned
153N098A	HMT-153	Klebsiella aerogenes	Strain: KCTC 2190	GB: NR_102493	Named	Unassigned
634_3890	HMT-634	Enterobacter hormaechei	Strain: DSMZ 16691	GB: AJ853890	Named	Unassigned
565_6078	HMT-565	Enterobacter cancerogenus	Strain: LMG 2693	GB: Z96078	Named	Unassigned
731_7657	HMT-731	Klebsiella pneumoniae	Strain: ATCC 13884	GB: Y17657	Named	Unassigned
731N000B	HMT-731	Klebsiella pneumoniae	Strain: DSM 30104	GB: NR_117686	Named	Unassigned
731_8919	HMT-731	Klebsiella pneumoniae	Strain: ATCC 13885	GB: AF228919	Named	Unassigned
944_6642	HMT-944	Haemophilus sputorum	Strain: CCUG 13788	GB: JF506642	Named	Oral
821_3483	HMT-821	Haemophilus ducreyi	Strain: ATCC 33921	GB: AY513483	Named	Unassigned
945_5384	HMT-945	Haemophilus parahaemolyticus	Strain: G321	GB: LK985384	Named	Oral
945_5746	HMT-945	Haemophilus parahaemolyticus	Strain: NCTC 8479	GB: AJ295746	Named	Oral
035_3523	HMT-035	Haemophilus paraphrohaemolyticus	Clone: ELU0153-000341	GB: HQ803523	Named	Oral
035_8142	HMT-035	Haemophilus paraphrohaemolyticus	Strain: NCTC 10670	GB: NR_118142	Named	Oral
718_3530	HMT-718	Haemophilus parainfluenzae	Strain: CIP 102513	GB: EU083530	Named	Nasal
718N000A	HMT-718	Haemophilus parainfluenzae	Clone: ncd81b03c1	GB: HM255881	Named	Nasal
946_0755	HMT-946	Haemophilus pittmaniae	Strain: CCUG 48703	GB: AJ290755	Named	Oral
259N116B	HMT-259	Haemophilus sp. HMT 259	Clone: M10127	GB: AY613546	Phylotype	Unassigned
259N116A	HMT-259	Haemophilus sp. HMT 259	Clone: ncd2419h01c1	GB: JF210233	Phylotype	Unassigned
641_3619	HMT-641	Haemophilus influenzae	Strain: M3669	GB: AY613619	Named	Nasal
641_5019	HMT-641	Haemophilus influenzae	Strain: ATCC 33391	GB: M35019	Named	Nasal
535_5044	HMT-535	Haemophilus aegyptius	Strain: NCTC 8502	GB: M75044	Named	Oral
641N000B	HMT-641	Haemophilus influenzae	Clone: ncd2740e04c1	GB: JF236380	Named	Nasal
851N000A	HMT-851	Haemophilus haemolyticus	Clone: ncd2361b09c1	GB: JF199888	Named	Oral
851F0397	HMT-851	Haemophilus haemolyticus	Strain: F0397	GB: HM596277	Named	Oral
908-Wade	HMT-908	Haemophilus sp. HMT 908	Clone: AL159	GB: JQ406529	Phylotype	Oral
908_1362	HMT-908	Haemophilus sp. HMT 908	Clone: ELU0149-000192	GB: HQ801362	Phylotype	Oral
036_3900	HMT-036	Haemophilus sp. HMT 036	Clone: ELU0098-000114	GB: HQ783900	Unnamed	Oral
036_8981	HMT-036	Haemophilus sp. HMT 036	Clone: 16slp93-3e06.p1k	GB: GQ158981	Unnamed	Oral
531_5035	HMT-531	Aggregatibacter actinomycetemcomitans	Strain: FDC Y4	GB: M75035	Named	Oral
531_5039	HMT-531	Aggregatibacter actinomycetemcomitans	Strain: ATCC 33384	GB: M75039	Named	Oral
949_6655	HMT-949	Aggregatibacter sp. HMT 949	Clone: CCUG 36139	GB: JF506655	Phylotype	Oral
545F0387	HMT-545	Aggregatibacter aphrophilus	Strain: F0387	GB: tbd	Named	Oral
545_5041	HMT-545	Aggregatibacter aphrophilus	Strain: ATCC 33389	GB: M75041	Named	Oral
720_5042	HMT-720	Aggregatibacter paraphrophilus	Strain: ATCC 29241	GB: M75042	Named	Oral
898-Wade	HMT-898	Aggregatibacter sp. HMT 898	Clone: HS19_2W_I12	GB: KC203060	Phylotype	Oral
898_5716	HMT-898	Aggregatibacter sp. HMT 898	Clone: ncd1799g05c1	GB: JF155716	Phylotype	Oral
513_3635	HMT-513	Aggregatibacter sp. HMT 513	Clone: MB3_C38	GB: DQ003635	Phylotype	Oral
458JM053	HMT-458	Aggregatibacter sp. HMT 458	Clone: JM053	GB: AY349380	Unnamed	Oral
762_5043	HMT-762	Aggregatibacter segnis	Strain: ATCC 33393	GB: M75043	Named	Oral
512_3621	HMT-512	Aggregatibacter sp. HMT 512	Clone: MB3_C24	GB: DQ003621	Lost	Oral
733_6108	HMT-733	Chlamydophila pneumoniae	Strain: TW183	GB: L06108	Named	Unassigned
271_C025	HMT-271	Treponema sp. HMT 271	Clone: _C025	GB: AF023043	Phylotype	Unassigned
258_C009	HMT-258	Treponema sp. HMT 258	Clone: _C009	GB: AF023042	Phylotype	Oral
490_9247	HMT-490	Treponema sp. HMT 490	Strain: OMZ 839	GB: AY369247	Unnamed	Unassigned
490JU025	HMT-490	Treponema sp. HMT 490	Clone: JU025	GB: AY349417	Unnamed	Unassigned
653_3040	HMT-653	Treponema lecithinolyticum	Clone: GF6	GB: AF023040	Named	Oral
260_D031	HMT-260	Treponema sp. HMT 260	Clone: _D031	GB: AF023041	Phylotype	Unassigned
664_3039	HMT-664	Treponema maltophilum	Strain: Smibert D4B	GB: AF023039	Named	Oral
664_C021	HMT-664	Treponema maltophilum	Clone: _C021	GB: AF023038	Named	Oral
725_1237	HMT-725	Treponema pectinovorum	Strain: ATCC 33768	GB: M71237	Named	Oral
270DD012	HMT-270	Treponema sp. HMT 270	Clone: DD012	GB: GQ422733	Phylotype	Oral
724_3304	HMT-724	Treponema parvum	Strain: D96NR-3	GB: AF033304	Named	Oral
927_9278	HMT-927	Treponema sp. HMT 927	Clone: nbu415h07c1	GB: GQ039278	Phylotype	Unassigned
265_U007	HMT-265	Treponema sp. HMT 265	Clone: _U007A	GB: AF023046	Phylotype	Unassigned
262AT040	HMT-262	Treponema sp. HMT 262	Clone: AT040	GB: AF182834	Phylotype	Oral
541_3045	HMT-541	Treponema amylovorum	Strain: D62CR12	GB: AF023045	Named	Oral
257_D36	HMT-257	Treponema sp. HMT 257	Strain: D36ER-1	GB: AF023044	Lost	Oral
263BH022	HMT-263	Treponema sp. HMT 263	Clone: BH022	GB: AF182837	Phylotype	Unassigned
264BZ013	HMT-264	Treponema sp. HMT 264	Clone: BZ013	GB: AF385536	Phylotype	Unassigned
269_D15	HMT-269	Treponema sp. HMT 269	Strain: D15A-4	GB: AY005083	Lost	Oral
769_3307	HMT-769	Treponema socranskii	Strain: ATCC 35535	GB: AF033307	Named	Oral
769_3306	HMT-769	Treponema socranskii	Strain: ATCC 35536	GB: AF033306	Named	Oral
268_D120	HMT-268	Treponema sp. HMT 268	Strain: D120CR-1	GB: AF033303	Lost	Oral
268IL034	HMT-268	Treponema sp. HMT 268	Clone: IL034	GB: AY349418	Lost	Oral
769_3308	HMT-769	Treponema socranskii	Strain: D11B-2	GB: AF033308	Named	Oral
769_3305	HMT-769	Treponema socranskii	Strain: ATCC 35534	GB: AF033305	Named	Oral
769_C044	HMT-769	Treponema socranskii	Clone: _C044	GB: AF056344	Named	Oral
769_G047	HMT-769	Treponema socranskii	Clone: _G047	GB: AF056343	Named	Oral
805_8726	HMT-805	Treponema pallidum	Strain: Nichols	GB: M88726	Named	Unassigned
246_T001	HMT-246	Treponema sp. HMT 246	Clone: _T001	GB: AF023031	Phylotype	Oral
247_G093	HMT-247	Treponema sp. HMT 247	Clone: _G093	GB: AF023032	Phylotype	Oral
584_1236	HMT-584	Treponema denticola	Strain: ATCC 33520	GB: M71236	Named	Oral
584_D012	HMT-584	Treponema denticola	Clone: _D012	GB: AF023030	Named	Oral
743_9249	HMT-743	Treponema putidum	Strain: OMZ 844	GB: AY369249	Named	Oral
249_C053	HMT-249	Treponema sp. HMT 249	Clone: _C053	GB: AF023037	Phylotype	Unassigned
508_3618	HMT-508	Treponema sp. HMT 508	Clone: MB2_G19	GB: DQ003618	Phylotype	Oral
518_3625	HMT-518	Treponema sp. HMT 518	Clone: MB4_G11	GB: DQ003625	Phylotype	Oral
252BA213	HMT-252	Treponema sp. HMT 252	Clone: BA213	GB: AF056341	Phylotype	Oral
254AT013	HMT-254	Treponema sp. HMT 254	Clone: AT013	GB: AF182836	Phylotype	Oral
256BB003	HMT-256	Treponema sp. HMT 256	Clone: BB003	GB: AF182835	Phylotype	Oral
250_D024	HMT-250	Treponema sp. HMT 250	Clone: _D024	GB: AF023028	Phylotype	Unassigned
253BQ032	HMT-253	Treponema sp. HMT 253	Clone: BQ032	GB: AF182838	Phylotype	Oral
251_U008	HMT-251	Treponema sp. HMT 251	Clone: _U008A	GB: AF056340	Phylotype	Unassigned
517_3624	HMT-517	Treponema sp. HMT 517	Clone: MB3_P23	GB: DQ003624	Phylotype	Oral
951_0103	HMT-951	Treponema sp. HMT 951	Clone: 303D03	GB: AM420103	Phylotype	Oral
235_D047	HMT-235	Treponema sp. HMT 235	Clone: _D047	GB: AF023063	Phylotype	Oral
242AU076	HMT-242	Treponema sp. HMT 242	Clone: AU076	GB: AF182831	Phylotype	Oral
226_G054	HMT-226	Treponema sp. HMT 226	Clone: _G054	GB: AF023062	Phylotype	Oral
238AT020	HMT-238	Treponema sp. HMT 238	Clone: AT020	GB: AF061347	Phylotype	Oral
230AF068	HMT-230	Treponema sp. HMT 230	Clone: AF068	GB: AY005081	Phylotype	Oral
230_D013	HMT-230	Treponema sp. HMT 230	Clone: _D013	GB: AF023053	Phylotype	Oral
239JU031	HMT-239	Treponema sp. HMT 239	Clone: JU031	GB: AY349416	Phylotype	Oral
239AF026	HMT-239	Treponema sp. HMT 239	Clone: AF026	GB: AF061348	Phylotype	Oral
234_Y001	HMT-234	Treponema sp. HMT 234	Clone: _Y001	GB: AF023056	Phylotype	Oral
232_T019	HMT-232	Treponema sp. HMT 232	Clone: _T019	GB: AF023059	Phylotype	Unassigned
227BA223	HMT-227	Treponema sp. HMT 227	Clone: BA223	GB: AF056339	Phylotype	Oral
236AF016	HMT-236	Treponema sp. HMT 236	Clone: AF016	GB: AF056338	Phylotype	Oral
228_T031	HMT-228	Treponema sp. HMT 228	Clone: _T031	GB: AF023054	Phylotype	Oral
029_3309	HMT-029	Treponema vincentii	Strain: ATCC 35580	GB: AF033309	Named	Oral
667_3051	HMT-667	Treponema medium	Clone: _C007	GB: AF023051	Named	Oral
231_T021	HMT-231	Treponema sp. HMT 231	Clone: _T021	GB: AF023055	Phylotype	Oral
237AT039	HMT-237	Treponema sp. HMT 237	Clone: AT039	GB: AF061349	Phylotype	Oral
237_1822	HMT-237	Treponema sp. HMT 237	Clone: P4GB_42	GB: AY341822	Phylotype	Oral
237AT024	HMT-237	Treponema sp. HMT 237	Clone: AT024	GB: AF061350	Phylotype	Oral
237_G057	HMT-237	Treponema sp. HMT 237	Clone: _G057	GB: AF056337	Phylotype	Oral
99427171	HMT-994	Caldilinea aerophila	Strain: DSM 14535 = NBRC 104270	PROKKA: SEQF2717_01047	NonOralRef	NonOralRef
99427172	HMT-994	Caldilinea aerophila	Strain: DSM 14535 = NBRC 104270	PROKKA: SEQF2717_01360	NonOralRef	NonOralRef
439_8332	HMT-439	Anaerolineae [G-1] [G-1] bacterium HMT 439	Clone: PCR-walk	GB: KM018332	Unnamed	Oral
99527151	HMT-995	Anaerolinea thermophila	Strain: UNI-1	PROKKA: SEQF2715_00172	NonOralRef	NonOralRef
99527152	HMT-995	Anaerolinea thermophila	Strain: UNI-1	PROKKA: SEQF2715_00631	NonOralRef	NonOralRef
777_1216	HMT-777	Jonquetella anthropi	Strain: E3_33	GB: AF481216	Named	Oral
357BA121	HMT-357	Pyramidobacter piscolens	Clone: BA121	GB: AY005444	Named	Oral
357_8615	HMT-357	Pyramidobacter piscolens	Clone: C2ALM009	GB: AY278615	Named	Oral
357W5455	HMT-357	Pyramidobacter piscolens	Strain: W5455	GB: EU309492	Named	Oral
363_W028	HMT-363	Fretibacterium fastidiosum	Clone: W028	GB: AF125202	Named	Oral
363_1215	HMT-363	Fretibacterium fastidiosum	Clone: MCE3_120	GB: AF481215	Named	Oral
363_W090	HMT-363	Fretibacterium fastidiosum	Clone: W090	GB: AF125203	Named	Oral
359BH007	HMT-359	Fretibacterium sp. HMT 359	Clone: BH007	GB: AY005447	Phylotype	Oral
362_0928	HMT-362	Fretibacterium sp. HMT 362	Clone: 2P9	GB: JX010928	Phylotype	Oral
362_D084	HMT-362	Fretibacterium sp. HMT 362	Clone: D084	GB: AF125200	Phylotype	Oral
360BH017	HMT-360	Fretibacterium sp. HMT 360	Clone: BH017	GB: AF125199	Phylotype	Oral
358BB062	HMT-358	Fretibacterium sp. HMT 358	Clone: BB062	GB: AY005445	Phylotype	Oral
361JV023	HMT-361	Fretibacterium sp. HMT 361	Clone: JV023	GB: AY349372	Phylotype	Oral
361_D006	HMT-361	Fretibacterium sp. HMT 361	Clone: D006	GB: AF125201	Phylotype	Oral
361_1214	HMT-361	Fretibacterium sp. HMT 361	Clone: MCE7_5	GB: AF481214	Phylotype	Oral
654_2375	HMT-654	Eggerthella lenta	Strain: ATCC 25559	GB: AF292375	Named	Unassigned
579F0066	HMT-579	Cryptobacterium curtum	Strain: F0066	GB: GQ422741	Named	Oral
602_4045	HMT-602	Slackia exigua	Strain: S4-C6	GB: JX104045	Named	Oral
602_1240	HMT-602	Slackia exigua	Strain: ATCC 700122	GB: AF101240	Named	Oral
807F0004	HMT-807	Olsenella sp. HMT 807	Strain: F0004	GB: EU592964	Unnamed	Oral
038_2373	HMT-038	Olsenella uli	Strain: ATCC 49627	GB: AF292373	Named	Oral
809F0206	HMT-809	Olsenella sp. HMT 809	Strain: F0206	GB: EU592965	Unnamed	Unassigned
939_2362	HMT-939	Olsenella sp. HMT 939	Clone: ncd319g05c1	GB: HM312362	Phylotype	Unassigned
806_2374	HMT-806	Olsenella profusa	Strain: D315A-29	GB: AF292374	Named	Oral
810_9768	HMT-810	Atopobium sp. HMT 810	Strain: BV3Ac1	GB: JN809768	Unnamed	Unassigned
810F0209	HMT-810	Atopobium sp. HMT 810	Strain: F0209	GB: EU592966	Unnamed	Unassigned
814_5325	HMT-814	Atopobium vaginae	Strain: VA14183_00	GB: AF325325	Named	Unassigned
416_8623	HMT-416	Atopobium sp. HMT 416	Clone: C3MLM018	GB: AY278623	Unnamed	Unassigned
674_7148	HMT-674	Atopobium minutum	Strain: NCFB 2751	GB: X67148	Named	Unassigned
723_2372	HMT-723	Atopobium parvulum	Strain: ATCC22793	GB: AF292372	Named	Oral
750_2371	HMT-750	Atopobium rimae	Strain: ATCC49626	GB: AF292371	Named	Oral
199-C19	HMT-199	Atopobium sp. HMT 199	Clone: _C019	GB: AF287760	Unnamed	Oral
407_8612	HMT-407	Bifidobacteriaceae [G-2] [G-2] bacterium HMT 407	Clone: C5AKM003	GB: AY278612	Phylotype	Unassigned
198_2583	HMT-198	Alloscardovia omnicolens	Strain: CCUG 31649	GB: NR_042583	Named	Oral
198H6-M4	HMT-198	Alloscardovia omnicolens	Strain: H6-M4	GB: AF385524	Named	Oral
586_9331	HMT-586	Parascardovia denticolens	Strain: DSM 10105	GB: D89331	Named	Unassigned
642F0304	HMT-642	Scardovia inopinata	Strain: F0304	GB: GQ131412	Named	Unassigned
195F0424	HMT-195	Scardovia wiggsiae	Strain: F0424	GB: HM596282	Named	Oral
195_8626	HMT-195	Scardovia wiggsiae	Strain: C1A_55	GB: AY278626	Named	Oral
829_4095	HMT-829	Gardnerella vaginalis	Strain: NML 060420	GB: EF194095	Named	Vaginal
890_9329	HMT-890	Bifidobacterium subtile	Strain: JCM 7109	GB: D89329	Named	Unassigned
895_6185	HMT-895	Bifidobacterium animalis	Strain: JCM 1190	GB: D86185	Named	Unassigned
895_0136	HMT-895	Bifidobacterium animalis	Strain: DSM 10140	GB: AB050136	Named	Unassigned
889_6658	HMT-889	Bifidobacterium breve	Strain: ATCC 15700	GB: AB006658	Named	Unassigned
862_3437	HMT-862	Bifidobacterium longum	Strain: ATCC 15697	GB: NR_043437	Named	Unassigned
891_7363	HMT-891	Bifidobacterium scardovii	Strain: YIT 11867	GB: AB437363	Named	Unassigned
588_6183	HMT-588	Bifidobacterium dentium	Strain: ATCC 27534	GB: D86183	Named	Unassigned
915-Wade	HMT-915	Propionibacteriaceae [G-1] [G-1] bacterium HMT 915	Clone: HS10_B_C3	GB: KC203064	Phylotype	Oral
192C3KA	HMT-192	Propionibacteriaceae [G-2] [G-2] bacterium HMT 192	Strain: C3KA	GB: GQ422728	Unnamed	Unassigned
191F0233	HMT-191	Propionibacterium acidifaciens	Strain: F0233	GB: tbd	Named	Oral
191FMA5B	HMT-191	Propionibacterium acidifaciens	Strain: FMA5	GB: AF287756	Named	Oral
194BN085	HMT-194	Arachnia sp. HMT 194	Clone: BN085	GB: AF287757	Phylotype	Oral
739_5953	HMT-739	Arachnia propionicum	Strain: DSM 43307	GB: AJ315953	Named	Oral
114N078A	HMT-114	Cutibacterium granulosum	Strain: JCM 6498	GB: NR_113367	Named	Unassigned
552_3055	HMT-552	Cutibacterium avidum	Strain: DSM 4901	GB: AJ003055	Named	Unassigned
193METC3	HMT-193	Cutibacterium sp. HMT 193	Strain: Met-C3	GB: GQ422729	Unnamed	Unassigned
530_5256	HMT-530	Cutibacterium acnes	Strain: 63597	GB: AF145256	Named	Oral
530N000A	HMT-530	Cutibacterium acnes	Strain: JCM 6425	GB: NR_113028	Named	Oral
692_9564	HMT-692	Mycobacterium neoaurum	Strain: ATCC 25795	GB: M29564	Named	Unassigned
823_2782	HMT-823	Mycobacterium leprae	Strain: Br4923	GB: NR_102782	Named	Unassigned
822_2917	HMT-822	Mycobacterium tuberculosis	Strain: not listed	GB: X52917	Named	Unassigned
368_1211	HMT-368	Dietzia cinnamea	Strain: E9_2	GB: AF481211	Named	Unassigned
173N105B	HMT-173	Lawsonella clevelandensis	Strain: X1036	GB: JX877776	Named	Skin
173N105C	HMT-173	Lawsonella clevelandensis	Clone: Ej-10-F-084	GB: AB991511	Named	Skin
832_9809	HMT-832	Turicella otitidis	Clone: nbw13b04c1	GB: GQ059809	Named	Unassigned
